"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"ANKRD6","ANKRD6","_","bi",0.3,0.9,4.3,59.5,35,351,5,20,2,7,"0.00 (0/7)","chr 6",90142888,90343553,"protein_coding",122719,"distant candidate",-7,"inter clus 7",0.0168539325842697
"CTC-444N24.11","CTC-444N24.11","1 M impr clstr","bi",1.4,0.7,3.4,46.5,48,296,1,18,0,3,"0.00 (0/3)","chr 19",57815672,57819930,"lincRNA",79884,"nearby candidate",32,"clus 32 (chr 19)",0.0168350168350169
"FAM110B","FAM110B","_","bi",1.3,0.4,5.1,75.1,18.1,237,1,31,1,2,"0.00 (0/1)","chr 8",58907067,59116838,"protein_coding",57261,"distant candidate",-15,"inter clus 15",0.0168067226890757
"RASSF4","RASSF4","_","bi",0.8,2.5,10.2,78,8.5,118,1,30,1,5,"0.00 (0/5)","chr 10",45454854,45491339,"protein_coding",120902,"distant candidate",-18,"inter clus 18",0.0168067226890757
"DET1","DET1","_","bi",0.8,0.8,7.6,89.1,1.7,118,1,2,2,3,"0.33 (1/3)","chr 15",89075098,89089568,"protein_coding",63659,"distant candidate",-28,"inter clus 28",0.0168067226890757
"TMEM70","TMEM70","_","bi",0.8,0,1.7,59.4,38.1,118,1,32,4,7,"0.00 (0/7)","chr 8",74884671,74895018,"protein_coding",101424,"distant candidate",-15,"inter clus 15",0.0168067226890757
"C4orf33","C4orf33","_","bi",1.1,1.1,7.3,69.7,20.8,178,1,13,4,18,"0.00 (0/18)","chr 4",130014471,130037795,"protein_coding",188548,"distant candidate",-5,"inter clus 5",0.0167597765363129
"MTMR6","MTMR6","_","bi",0.6,0,1.1,13.6,84.7,177,2,26,2,9,"0.00 (0/9)","chr 13",25802306,25862147,"protein_coding",127279,"distant candidate",-25,"inter clus 25",0.0167597765363129
"RNF168","RNF168","_","bi",1.3,2.5,3.8,80.2,12.2,238,1,12,0,13,"0.00 (0/13)","chr 3",196195653,196230639,"protein_coding",165809,"distant candidate",-4,"inter clus 4",0.0167364016736402
"TREX1","TREX1","_","bi",1.7,4.2,12.5,79.1,2.5,120,0,9,0,1,"0.00 (0/1)","chr 3",48506444,48509044,"protein_coding",63003,"distant candidate",-4,"inter clus 4",0.0166666666666667
"IER5","IER5","_","bi",1.7,1.7,11.7,74.9,10,60,0,10,0,4,"0.00 (0/4)","chr 1",181057637,181059977,"protein_coding",83086,"distant candidate",-2,"inter clus 2",0.0166666666666667
"TMEM109","TMEM109","_","bi",1.7,0,10,88.3,0,60,0,10,1,2,"0.00 (0/2)","chr 11",60681345,60690915,"protein_coding",76566,"distant candidate",-21,"inter clus 21",0.0166666666666667
"BAALC","BAALC","_","bi",1.7,0,6.7,16.6,75,60,0,232,0,4,"0.00 (0/4)","chr 8",104152937,104242533,"protein_coding",78593,"distant candidate",-15,"inter clus 15",0.0166666666666667
"GNAQ","GNAQ","_","bi",1.3,0,0,6.6,92.1,239,1,74,1,5,"0.00 (0/5)","chr 9",80331002,80646374,"protein_coding",89309,"distant candidate",-18,"inter clus 18",0.0166666666666667
"RP5-935K16.1","RP5-935K16.1","_","bi",0.8,2.5,10.9,78.2,7.6,119,1,9,0,5,"0.00 (0/4)","chr 2",128601126,128603261,"lincRNA",101331,"distant candidate",-3,"inter clus 3",0.0166666666666667
"APLNR","APLNR","_","bi",0.8,0.8,8.4,71.5,18.5,119,1,13,5,9,"0.00 (0/9)","chr 11",57001050,57004709,"protein_coding",116172,"distant candidate",-21,"inter clus 21",0.0166666666666667
"PARP10","PARP10","_","bi",0,6.8,18.6,71.2,3.4,59,1,5,2,3,"0.00 (0/3)","chr 8",145051320,145086940,"protein_coding",94674,"distant candidate",-17,"inter clus 17",0.0166666666666667
"TAPT1","TAPT1","_","bi",0,0.8,1.7,18.7,78.8,118,2,32,0,3,"0.00 (0/3)","chr 4",16162127,16229033,"protein_coding",125723,"distant candidate",-4,"inter clus 4",0.0166666666666667
"ZNF714","ZNF714","_","skew.7 novel",1.7,11.7,18.9,35.5,32.2,180,1,14,2,17,"0.07 (1/15)","chr 19",21264964,21308073,"protein_coding",186297,"distant candidate",-31,"inter clus 31",0.0165745856353591
"NCK2","NCK2","_","bi",0.6,1.1,8.4,78.2,11.7,179,2,16,1,3,"0.00 (0/3)","chr 2",106361353,106510730,"protein_coding",70243,"distant candidate",-3,"inter clus 3",0.0165745856353591
"PRPH2","PRPH2","_","skew.7 novel",0,15.1,29.4,53,2.5,119,2,3,3,9,"0.00 (0/9)","chr 6",42664339,42690312,"protein_coding",138344,"distant candidate",-7,"inter clus 7",0.0165289256198347
"UBE2W","UBE2W","_","bi",0,0.8,5,83.3,10.9,119,2,55,1,4,"0.00 (0/4)","chr 8",74692331,74791145,"protein_coding",139252,"distant candidate",-15,"inter clus 15",0.0165289256198347
"GREM2","GREM2","_","bi",1.7,5,12.2,75.6,5.5,181,1,3,2,8,"0.00 (0/8)","chr 1",240652872,240775449,"protein_coding",111370,"distant candidate",-2,"inter clus 2",0.0164835164835165
"POLR3F","POLR3F","_","bi",1.6,0,6.6,53.3,38.5,182,0,15,3,7,"0.00 (0/7)","chr 20",18447770,18465287,"protein_coding",93888,"distant candidate",-32,"inter clus 32",0.0164835164835165
"RUSC2","RUSC2","_","bi",0.6,0,3.9,65.5,30,180,2,27,0,2,"0.00 (0/2)","chr 9",35490123,35561895,"protein_coding",71821,"distant candidate",-18,"inter clus 18",0.0164835164835165
"IGF1R","IGF1R","_","bi",0.3,1.9,4.5,61.8,31.5,359,5,21,5,17,"0.06 (1/17)","chr 15",99192199,99507759,"protein_coding",242070,"distant candidate",-28,"inter clus 28",0.0164835164835165
"SLC6A17","SLC6A17","_","bi",0.7,1,3.6,17,77.7,421,4,21,1,14,"0.15 (2/13)","chr 1",110693107,110744824,"protein_coding",209182,"distant candidate",-2,"inter clus 2",0.0164705882352941
"PSMC2","PSMC2","_","bi",1.6,3.3,13.1,82,0,61,0,54,0,3,"0.00 (0/3)","chr 7",102984700,103009842,"protein_coding",72177,"distant candidate",-13,"inter clus 13",0.0163934426229508
"HAUS4","HAUS4","_","bi",1.6,3.3,14.8,77,3.3,61,0,11,0,1,"0.00 (0/1)","chr 14",23415436,23426370,"protein_coding",47395,"distant candidate",-26,"inter clus 26",0.0163934426229508
"SIGMAR1","SIGMAR1","_","bi",1.6,0,6.6,85.2,6.6,61,0,11,0,2,"0.00 (0/2)","chr 9",34634718,34637806,"protein_coding",63007,"distant candidate",-18,"inter clus 18",0.0163934426229508
"PEX13","PEX13","_","bi",0.6,1.7,9.9,76.2,11.6,181,2,17,0,4,"0.00 (0/4)","chr 2",61244359,61279125,"protein_coding",86657,"distant candidate",-2,"inter clus 2",0.0163934426229508
"TSPAN13","TSPAN13","_","bi",0.6,0.6,5.5,56.3,37,181,2,59,0,4,"0.00 (0/4)","chr 7",16793159,16824161,"protein_coding",106014,"distant candidate",-10,"inter clus 10",0.0163934426229508
"PLBD2","PLBD2","_","bi",0,3.3,13.3,80.1,3.3,60,1,9,1,5,"0.00 (0/5)","chr 12",113796370,113827203,"protein_coding",78768,"distant candidate",-25,"inter clus 25",0.0163934426229508
"NRXN3","NRXN3","_","bi",0,1.7,8.3,85,5,120,2,85,1,6,"0.00 (0/6)","chr 14",78708733,80330762,"protein_coding",117752,"distant candidate",-26,"inter clus 26",0.0163934426229508
"ATE1","ATE1","_","bi",0,0,0.8,38.8,60.4,240,4,83,1,6,"0.00 (0/6)","chr 10",123499938,123688316,"protein_coding",141123,"distant candidate",-19,"inter clus 19",0.0163934426229508
"ZRANB2","ZRANB2","_","bi",0.5,0.5,3.8,57.8,37.4,182,2,53,0,7,"0.00 (0/7)","chr 1",71528973,71546980,"protein_coding",96349,"distant candidate",-2,"inter clus 2",0.0163043478260869
"TANC1","TANC1","_","bi",0,5,9.9,83.4,1.7,121,2,6,5,10,"0.00 (0/10)","chr 2",159825145,160089170,"protein_coding",155942,"distant candidate",-3,"inter clus 3",0.016260162601626
"C4orf50","C4orf50","_","bi",0,1.7,10.6,75.1,12.6,302,6,5,4,16,"0.06 (1/16)","chr 4",5958844,5991545,"protein_coding",175604,"distant candidate",-4,"inter clus 4",0.0162337662337663
"LRPPRC","LRPPRC","_","bi",0.5,2.2,4.9,66.2,26.2,183,2,65,2,6,"0.00 (0/6)","chr 2",44113646,44223144,"protein_coding",87291,"distant candidate",-2,"inter clus 2",0.0162162162162162
"LDOC1L","LDOC1L","_","bi",0.8,0,2.2,20.9,76.1,368,3,14,1,23,"0.13 (3/23)","chr 22",44888451,44894178,"protein_coding",238669,"distant candidate",-36,"inter clus 36",0.0161725067385444
"TEX261","TEX261","_","bi",1.6,6.5,12.9,78.2,0.8,124,0,10,1,5,"0.00 (0/5)","chr 2",71213067,71222075,"protein_coding",107922,"distant candidate",-2,"inter clus 2",0.0161290322580645
"CEP192","CEP192","_","bi",1.6,3.2,8.1,87.1,0,62,0,28,8,8,"0.00 (0/8)","chr 18",12991360,13125051,"protein_coding",144256,"distant candidate",-29,"inter clus 29",0.0161290322580645
"OPRD1","OPRD1","_","bi",1.6,1.6,6.5,83.8,6.5,62,0,3,1,2,"0.00 (0/2)","chr 1",29138653,29190208,"protein_coding",62468,"distant candidate",-1,"inter clus 1",0.0161290322580645
"CDK4","CDK4","_","bi",0.8,0,5.7,69.1,24.4,123,1,15,0,3,"0.00 (0/3)","chr 12",58141509,58149796,"protein_coding",64795,"distant candidate",-25,"inter clus 25",0.0161290322580645
"TSPAN31","TSPAN31","_","bi",0.8,0,5.7,69.1,24.4,123,1,23,0,3,"0.00 (0/3)","chr 12",58131795,58143994,"protein_coding",71628,"distant candidate",-25,"inter clus 25",0.0161290322580645
"ZNF638","ZNF638","_","bi",0.4,0.4,5.3,68.6,25.3,245,3,168,6,17,"0.00 (0/17)","chr 2",71503690,71662199,"protein_coding",204229,"distant candidate",-2,"inter clus 2",0.0161290322580645
"NAAA","NAAA","_","skew.7 novel",0,11.7,33.3,55,0,60,2,11,3,17,"0.00 (0/17)","chr 4",76831808,76862204,"protein_coding",183338,"distant candidate",-4,"inter clus 4",0.0161290322580645
"C5orf22","C5orf22","_","bi",0,4.9,9,82.8,3.3,122,2,17,1,8,"0.00 (0/8)","chr 5",31532372,31555165,"protein_coding",119443,"distant candidate",-5,"inter clus 5",0.0161290322580645
"CCDC149","CCDC149","_","bi",0,3.3,4.9,79.5,12.3,122,2,16,1,4,"0.00 (0/4)","chr 4",24807738,24981826,"protein_coding",102745,"distant candidate",-4,"inter clus 4",0.0161290322580645
"TRAM2-AS1","TRAM2-AS1","_","bi",0,3.3,18,78.7,0,61,1,5,0,7,"0.00 (0/6)","chr 6",52442104,52448783,"lincRNA",103450,"distant candidate",-7,"inter clus 7",0.0161290322580645
"GS1-18A18.1","GS1-18A18.1","_","bi",0,3.3,0,73.7,23,61,1,9,0,3,"0.00 (0/3)","chr 7",54624662,54639419,"sense_overlapping",87065,"distant candidate",-11,"inter clus 11",0.0161290322580645
"MANSC1","MANSC1","_","bi",0,1.6,6.6,90.2,1.6,61,1,4,3,5,"0.00 (0/5)","chr 12",12482197,12503475,"protein_coding",97409,"distant candidate",-25,"inter clus 25",0.0161290322580645
"RP11-345P4.9","RP11-345P4.9","_","bi",0,1.6,9,78.7,10.7,122,2,9,0,7,"0.00 (0/7)","chr 1",1549137,1551175,"antisense",101451,"distant candidate",0,"inter clus 0",0.0161290322580645
"PDE1C","PDE1C","_","bi",0,3.7,8.2,68.5,19.6,245,4,35,4,19,"0.00 (0/19)","chr 7",31790792,32338941,"protein_coding",275566,"distant candidate",-10,"inter clus 10",0.0160642570281124
"TBC1D8","TBC1D8","_","bi",1.1,2.2,7.5,77.9,11.3,186,1,10,6,7,"0.00 (0/7)","chr 2",101624078,101869328,"protein_coding",98197,"distant candidate",-3,"inter clus 3",0.0160427807486631
"C14orf119","C14orf119","_","bi",0,2.7,4.3,65.3,27.7,184,3,11,0,5,"0.00 (0/5)","chr 14",23563973,23569665,"protein_coding",114476,"distant candidate",-26,"inter clus 26",0.0160427807486631
"CCDC103","CCDC103","_","bi",2.4,5.6,15.2,71.2,5.6,125,0,4,4,6,"0.00 (0/5)","chr 17",42976509,42982758,"protein_coding",91937,"distant candidate",-29,"inter clus 29",0.016
"FAM187A","FAM187A","_","bi",2.4,5.6,15.2,71.2,5.6,125,0,1,4,6,"0.00 (0/5)","chr 17",42977134,42982758,"protein_coding",92343,"distant candidate",-29,"inter clus 29",0.016
"LINC00654","LINC00654","_","bi",1.6,8.8,18.4,68.8,2.4,125,0,3,3,16,"0.00 (0/16)","chr 20",5476712,5485259,"lincRNA",213557,"distant candidate",-32,"inter clus 32",0.016
"TATDN3","TATDN3","_","bi",1.6,6.8,14.4,48.8,28.4,250,0,24,0,5,"0.40 (2/5)","chr 1",212965169,212989968,"protein_coding",85115,"distant candidate",-2,"inter clus 2",0.016
"ADRA1A","ADRA1A","_","bi",1.6,2.4,7.2,88,0.8,125,0,8,2,2,"0.00 (0/2)","chr 8",26605666,26724790,"protein_coding",75339,"distant candidate",-15,"inter clus 15",0.016
"PELI2","PELI2","_","bi",1.6,2.4,11.2,83.2,1.6,125,0,8,0,3,"0.00 (0/3)","chr 14",56584531,56768244,"protein_coding",62751,"distant candidate",-26,"inter clus 26",0.016
"GALNT10","GALNT10","_","bi",0.8,2.4,8.9,79.8,8.1,124,1,6,5,10,"0.00 (0/10)","chr 5",153570289,153800544,"protein_coding",139548,"distant candidate",-6,"inter clus 6",0.016
"KIAA1430","KIAA1430","_","bi",0.4,0,1.6,43.3,54.7,247,3,21,4,8,"0.00 (0/8)","chr 4",186080818,186130658,"protein_coding",125601,"distant candidate",-5,"inter clus 5",0.016
"RDH13","RDH13","1 M impr clstr","bi",0,2.4,17.1,79.7,0.8,123,2,7,5,15,"0.00 (0/15)","chr 19",55550475,55582659,"protein_coding",195543,"nearby candidate",32,"clus 32 (chr 19)",0.016
"CHMP2B","CHMP2B","_","bi",1.6,0,2.1,39.9,56.4,188,0,33,0,2,"0.00 (0/2)","chr 3",87276420,87304698,"protein_coding",95003,"distant candidate",-4,"inter clus 4",0.0159574468085106
"AFTPH","AFTPH","_","bi",0,0.5,2.7,79,17.8,185,3,37,1,7,"0.00 (0/7)","chr 2",64751464,64820139,"protein_coding",104671,"distant candidate",-2,"inter clus 2",0.0159574468085106
"AP2A2","AP2A2","_","bi",0.3,1.6,6.5,53.2,38.4,310,4,33,0,8,"0.12 (1/8)","chr 11",924893,1012239,"protein_coding",136001,"distant candidate",-19,"inter clus 19",0.0159235668789809
"SEC14L5","SEC14L5","_","bi",0.5,0.8,4,47.2,47.5,373,4,13,1,15,"0.00 (0/15)","chr 16",5008317,5069159,"protein_coding",241970,"distant candidate",-29,"inter clus 29",0.0159151193633952
"ARPC4-TTLL3","ARPC4-TTLL3","_","bi",1.6,9.5,15.9,69.8,3.2,63,0,9,1,2,"0.00 (0/2)","chr 3",9834765,9877085,"protein_coding",54974,"distant candidate",-4,"inter clus 4",0.0158730158730159
"RAP1GDS1","RAP1GDS1","_","skew.7 novel",1.6,9.5,22.2,58.8,7.9,63,0,105,2,5,"0.00 (0/5)","chr 4",99182534,99365012,"protein_coding",86491,"distant candidate",-5,"inter clus 5",0.0158730158730159
"SEPT4","SEPT4","_","bi",1.6,4.8,7.9,84.1,1.6,63,0,208,2,5,"0.00 (0/5)","chr 17",56597610,56618179,"protein_coding",113662,"distant candidate",-29,"inter clus 29",0.0158730158730159
"SNHG15","SNHG15","_","bi",1.6,3.2,11.1,80.9,3.2,63,0,21,0,3,"0.00 (0/3)","chr 7",45022621,45026560,"lincRNA",74625,"distant candidate",-10,"inter clus 10",0.0158730158730159
"SDR39U1","SDR39U1","_","bi",1.6,3.2,20.6,73,1.6,63,0,20,4,10,"0.00 (0/10)","chr 14",24908971,24912111,"protein_coding",152027,"distant candidate",-26,"inter clus 26",0.0158730158730159
"RALGAPA2","RALGAPA2","_","bi",1.6,1.6,6.3,88.9,1.6,63,0,9,1,6,"0.00 (0/6)","chr 20",20370195,20693131,"protein_coding",121071,"distant candidate",-32,"inter clus 32",0.0158730158730159
"POLR3G","POLR3G","_","bi",1.6,1.6,11.1,85.7,0,63,0,4,1,3,"0.00 (0/3)","chr 5",89767564,89810370,"protein_coding",118614,"distant candidate",-5,"inter clus 5",0.0158730158730159
"BCKDK","BCKDK","_","bi",1.6,0,4.8,88.8,4.8,63,0,7,1,1,"0.00 (0/1)","chr 16",31117427,31124110,"protein_coding",48039,"distant candidate",-29,"inter clus 29",0.0158730158730159
"PIGC","PIGC","_","bi",1.6,0,11.1,82.5,4.8,63,0,14,2,7,"0.14 (1/7)","chr 1",172339328,172413230,"protein_coding",97493,"distant candidate",-2,"inter clus 2",0.0158730158730159
"H2AFX","H2AFX","_","bi",1.6,0,17.5,74.6,6.3,63,0,7,0,2,"0.00 (0/2)","chr 11",118964563,118966177,"protein_coding",66475,"distant candidate",-23,"inter clus 23",0.0158730158730159
"TOMM70A","TOMM70A","_","bi",1.1,0,0,33.5,65.4,188,1,56,0,3,"0.00 (0/3)","chr 3",100082274,100120242,"protein_coding",95879,"distant candidate",-4,"inter clus 4",0.0158730158730159
"ALG12","ALG12","_","bi",0.8,2.4,16,77.6,3.2,125,1,4,3,6,"0.00 (0/6)","chr 22",50293876,50312106,"protein_coding",127555,"distant candidate",-36,"inter clus 36",0.0158730158730159
"ZNF343","ZNF343","_","bi",0.8,1.6,12,83.2,2.4,125,1,6,2,7,"0.00 (0/7)","chr 20",2462462,2505348,"protein_coding",101518,"distant candidate",-32,"inter clus 32",0.0158730158730159
"CLPX","CLPX","_","bi",0.8,1.6,5.6,68.8,23.2,125,1,26,0,2,"0.00 (0/2)","chr 15",65440556,65477680,"protein_coding",55944,"distant candidate",-28,"inter clus 28",0.0158730158730159
"PTPRD","PTPRD","_","bi",0.3,1,2.3,25,71.4,311,4,99,0,10,"0.00 (0/9)","chr 9",8314245,10612723,"protein_coding",185267,"distant candidate",-18,"inter clus 18",0.0158730158730159
"PTPN13","PTPN13","_","bi",0,4.8,6.5,80.6,8.1,62,1,22,4,7,"0.00 (0/7)","chr 4",87515467,87736324,"protein_coding",132090,"distant candidate",-4,"inter clus 4",0.0158730158730159
"RAB30-AS1","RAB30-AS1","_","bi",0,3.2,14.5,80.7,1.6,62,1,14,0,4,"0.00 (0/4)","chr 11",82783107,82817761,"lincRNA",78210,"distant candidate",-22,"inter clus 22",0.0158730158730159
"SLC7A1","SLC7A1","_","bi",0,1.6,11.3,79,8.1,62,1,12,1,6,"0.00 (0/6)","chr 13",30083546,30169825,"protein_coding",116761,"distant candidate",-25,"inter clus 25",0.0158730158730159
"RP13-39P12.3","RP13-39P12.3","_","bi",0,0,11.3,87.1,1.6,62,1,1,3,4,"0.00 (0/4)","chr 10",79542623,79552934,"antisense",76070,"distant candidate",-18,"inter clus 18",0.0158730158730159
"APCDD1","APCDD1","_","bi",0,0,11.3,72.6,16.1,62,1,12,3,7,"0.00 (0/7)","chr 18",10454624,10489945,"protein_coding",123506,"distant candidate",-29,"inter clus 29",0.0158730158730159
"RASSF2","RASSF2","_","bi",0,0,1.6,24.9,73.5,310,5,37,1,11,"0.00 (0/11)","chr 20",4760668,4804291,"protein_coding",231759,"distant candidate",-32,"inter clus 32",0.0158730158730159
"CBR4","CBR4","_","bi",0,0.4,4,47.8,47.8,249,4,19,1,8,"0.00 (0/7)","chr 4",169784920,169931426,"protein_coding",121906,"distant candidate",-5,"inter clus 5",0.0158102766798419
"SUCLG2","SUCLG2","_","bi",0,0,5.3,71.7,23,187,3,11,1,6,"0.00 (0/6)","chr 3",67410883,67705038,"protein_coding",102994,"distant candidate",-4,"inter clus 4",0.0157894736842106
"NAA60","NAA60","known_imprinted","bi",1.6,3.9,17.3,74.8,2.4,127,0,12,5,12,"0.00 (0/12)","chr 16",3415098,3536963,"protein_coding",160921,"known imprinted",29,"clus 29 (chr 16)",0.015748031496063
"PMVK","PMVK","_","bi",1.6,3.1,10.2,79.6,5.5,127,0,14,0,1,"0.00 (0/1)","chr 1",154897209,154909467,"protein_coding",63695,"distant candidate",-2,"inter clus 2",0.015748031496063
"SLC25A18","SLC25A18","1 M impr clstr","bi",1.2,0.8,2,9.4,86.6,253,1,37,1,6,"0.17 (1/6)","chr 22",18043138,18073760,"protein_coding",94774,"nearby candidate",36,"clus 36 (chr 22)",0.015748031496063
"LRRC23","LRRC23","1 M impr clstr","bi",0.8,3.2,14.3,76.9,4.8,126,1,9,1,4,"0.00 (0/4)","chr 12",6982732,7023407,"protein_coding",83893,"nearby candidate",25,"clus 25 (chr 12)",0.015748031496063
"KCNJ9","KCNJ9","_","bi",0,0,0.8,9.6,89.6,125,2,36,3,9,"0.00 (0/9)","chr 1",160051359,160060353,"protein_coding",121485,"distant candidate",-2,"inter clus 2",0.015748031496063
"KLHL36","KLHL36","_","bi",0,0.6,8.6,60.4,30.4,313,5,16,2,27,"0.04 (1/27)","chr 16",84682130,84701292,"protein_coding",389055,"distant candidate",-29,"inter clus 29",0.0157232704402516
"SEMA5A","SEMA5A","_","bi",0.5,2.1,11.6,75.7,10.1,189,2,6,2,11,"0.00 (0/11)","chr 5",9035137,9546187,"protein_coding",222732,"distant candidate",-5,"inter clus 5",0.0157068062827225
"NKIRAS1","NKIRAS1","_","bi",0.5,0,0,14.3,85.2,189,2,43,2,5,"0.00 (0/5)","chr 3",23933150,23988082,"protein_coding",91961,"distant candidate",-4,"inter clus 4",0.0157068062827225
"NASP","NASP","_","skew.7 novel",0,10.1,39.4,48.9,1.6,188,3,34,2,8,"0.00 (0/8)","chr 1",46049517,46084566,"protein_coding",110844,"distant candidate",-1,"inter clus 1",0.0157068062827225
"SLC6A11","SLC6A11","_","bi",0,1.1,9,77.7,12.2,188,3,10,3,11,"0.00 (0/11)","chr 3",10857884,10982419,"protein_coding",151079,"distant candidate",-4,"inter clus 4",0.0157068062827225
"RP11-265N6.1","RP11-265N6.1","_","bi",0,0.5,5.9,83.5,10.1,188,3,1,0,1,"0.00 (0/1)","chr 15",42824064,42825038,"antisense",56360,"distant candidate",-28,"inter clus 28",0.0157068062827225
"SNAP23","SNAP23","_","bi",0,0.5,5.9,83.5,10.1,188,3,20,0,1,"0.00 (0/1)","chr 15",42783430,42837547,"protein_coding",78542,"distant candidate",-28,"inter clus 28",0.0157068062827225
"GLRX","GLRX","_","skew.7 novel",1.6,15.6,29.7,53.1,0,64,0,25,1,5,"0.20 (1/5)","chr 5",95087022,95158709,"protein_coding",97216,"distant candidate",-5,"inter clus 5",0.015625
"PPM1B","PPM1B","_","skew.7 novel",1.6,5.7,26.6,51.5,14.6,192,0,52,0,2,"0.00 (0/2)","chr 2",44395107,44471523,"protein_coding",56414,"distant candidate",-2,"inter clus 2",0.015625
"ANKRD54","ANKRD54","_","bi",1.6,2.3,8.6,79.7,7.8,128,0,12,0,1,"0.00 (0/1)","chr 22",38226861,38245334,"protein_coding",48999,"distant candidate",-36,"inter clus 36",0.015625
"PAXBP1","PAXBP1","_","bi",1.6,1.6,10.2,78.8,7.8,128,0,26,0,2,"0.00 (0/2)","chr 21",34106209,34144169,"protein_coding",70532,"distant candidate",-35,"inter clus 35",0.015625
"ARL8A","ARL8A","_","bi",1.6,1.6,7.8,78.1,10.9,64,0,24,0,1,"0.00 (0/1)","chr 1",202102531,202113869,"protein_coding",27190,"distant candidate",-2,"inter clus 2",0.015625
"CADM2-AS1","CADM2-AS1","_","bi",1.6,0,17.2,78.1,3.1,64,0,4,0,5,"0.00 (0/5)","chr 3",86041332,86077157,"antisense",106240,"distant candidate",-4,"inter clus 4",0.015625
"ATP6V1C1","ATP6V1C1","_","bi",1,0,2.1,17.8,79.1,191,1,121,3,9,"0.00 (0/9)","chr 8",104033290,104085279,"protein_coding",160109,"distant candidate",-15,"inter clus 15",0.015625
"MLLT4","MLLT4","_","bi",0.9,0.6,4.7,49.1,44.7,318,2,47,7,19,"0.00 (0/19)","chr 6",168227601,168372703,"protein_coding",202321,"distant candidate",-10,"inter clus 10",0.015625
"ZNF853","ZNF853","_","bi",0.5,1.6,7.9,76.8,13.2,190,2,8,4,9,"0.00 (0/9)","chr 7",6655247,6663921,"protein_coding",114965,"distant candidate",-10,"inter clus 10",0.015625
"SLC6A6","SLC6A6","_","bi",0,4.8,7.9,87.3,0,63,1,6,5,12,"0.00 (0/12)","chr 3",14444075,14530857,"protein_coding",147535,"distant candidate",-4,"inter clus 4",0.015625
"GRAMD1A","GRAMD1A","_","bi",0,4.8,7.9,81,6.3,63,1,8,1,2,"0.00 (0/2)","chr 19",35485687,35517375,"protein_coding",62826,"distant candidate",-31,"inter clus 31",0.015625
"ZNF655","ZNF655","_","bi",0,0,0.8,32.5,66.7,126,2,50,0,5,"0.00 (0/5)","chr 7",99156028,99174076,"protein_coding",91985,"distant candidate",-13,"inter clus 13",0.015625
"FAM49A","FAM49A","_","bi",0.4,0,0,4.3,95.3,254,3,64,2,7,"0.00 (0/7)","chr 2",16730726,16847599,"protein_coding",106966,"distant candidate",-2,"inter clus 2",0.0155642023346303
"NAT9","NAT9","_","bi",1,1,3.1,81.4,13.5,192,1,17,2,5,"0.00 (0/5)","chr 17",72766685,72772506,"protein_coding",92377,"distant candidate",-29,"inter clus 29",0.0155440414507773
"MIB2","MIB2","_","bi",1,1,7.3,66.7,24,192,1,23,1,8,"0.00 (0/8)","chr 1",1550794,1565990,"protein_coding",141663,"distant candidate",0,"inter clus 0",0.0155440414507773
"DGKH","DGKH","_","bi",0,1.6,11.6,72.1,14.7,380,6,15,6,25,"0.00 (0/24)","chr 13",42614175,42830714,"protein_coding",333331,"distant candidate",-25,"inter clus 25",0.0155440414507773
"SOD2","SOD2","1 M impr clstr","bi",0,0,1.9,20.5,77.6,317,5,190,3,23,"0.05 (1/22)","chr 6",160090088,160183561,"protein_coding",317294,"nearby candidate",10,"clus 10 (chr 6)",0.015527950310559
